Date,Store,CHK,CHK Total,ITM,ITM $,DSCL,DSCL ID,Discount Name,Cashier Qu Backend ID,Loyalty ID
01/20,1825,3021,37.55,38280,8.29,8.29,135910,Magoos Rewards,173428,e5d7b1d9-7d87-4658-aefe-5891fcaab433
01/20,1825,250120221001155,15.48,,0,10.49,135910,Magoos Rewards,,
01/20,1825,3031,2.69,41953,9.19,9.19,135910,Magoos Rewards,85679,7f6e477f-07ab-42c1-8915-50f3b5fdb6f4
01/20,1825,250120232815630,19.28,,0,10.49,135910,Magoos Rewards,,
01/20,4045,4002,3.97,38280,9.49,9.49,135910,Magoos Rewards,64843,d7ccd7f8-4187-490e-8b5f-2a35c670a594
01/20,4045,4014,3.59,38280,9.49,9.49,135910,Magoos Rewards,64843,466b24d4-6932-45cf-8195-076832e2c87e
01/20,4045,4030,2.59,38280,9.49,9.49,135910,Magoos Rewards,64843,0baad095-ee33-4fe4-be8c-5e86627931cf
01/20,4045,250120190148211,2.59,,0,9.49,135910,Magoos Rewards,,
01/20,4045,4031,2.59,38280,9.49,9.49,135910,Magoos Rewards,64843,3ffdbfc2-86c8-4075-b387-dc3e6939e788
01/20,4045,4035,2.59,38280,9.49,9.49,135910,Magoos Rewards,64843,1582a995-3a59-44aa-8169-90d323d0e175
01/20,4045,250120192956053,2.59,,0,9.49,135910,Magoos Rewards,,
01/20,4045,250120195127607,2.59,,0,9.49,135910,Magoos Rewards,,
01/20,4045,4046,3.28,38280,9.49,9.49,135910,Magoos Rewards,64843,e7475cd8-b699-4d74-bf52-ce48ebe98fc3
01/20,4045,3022,2.59,38280,9.49,9.49,135910,Magoos Rewards,138271,3fa7503e-1c61-456c-9d6e-fb2d15b27c04
01/20,4045,250120221743604,3.59,,0,9.49,135910,Magoos Rewards,,
01/20,4045,250120231440809,2.59,,0,10.69,135910,Magoos Rewards,,
01/20,4045,250121001654385,9.58,,0,9.49,135910,Magoos Rewards,,
01/20,4045,4087,15.08,38280,9.49,9.49,135910,Magoos Rewards,225393,eaa4bc3c-e664-4e30-924f-868b51cac55f
01/20,4046,250120154753570,2.59,,0,9.49,135910,Magoos Rewards,,
01/20,4046,250120161251346,2.59,,0,9.49,135910,Magoos Rewards,,
01/20,4046,4002,27.97,80538,10.99,10.99,135910,Magoos Rewards,287761,6e430618-f111-49fd-9e1b-2ab02a597277
01/20,4046,250120164156111,12.08,,0,9.49,135910,Magoos Rewards,,
01/20,4046,250120165211886,10.99,,0,10.99,135910,Magoos Rewards,,
01/20,4046,250120172511944,19.98,,0,10.99,135910,Magoos Rewards,,
01/20,4046,4011,15.27,38280,9.49,9.49,135910,Magoos Rewards,282597,f4d07dc5-ee50-4e74-b523-be514ec6a324
01/20,4046,250120180328792,16.17,,0,10.99,135910,Magoos Rewards,,
01/20,4046,4018,16.17,80538,10.99,10.99,135910,Magoos Rewards,44804,8fab97d6-661e-4c43-9aab-87da559f91b1
01/20,4046,250120183803628,17.58,,0,9.49,135910,Magoos Rewards,,
01/20,4046,3040,2.59,38280,9.49,9.49,135910,Magoos Rewards,87541,992e8b4c-555f-4cee-8e25-ba32c9af14ff
01/20,4046,4035,2.59,38280,9.49,9.49,135910,Magoos Rewards,87541,535d36df-a6fa-47c2-b92e-47bd1200f015
01/20,4046,3043,2.59,38280,9.49,9.49,135910,Magoos Rewards,87541,31c0ff43-d7ed-4100-b822-82ca8c8045e9
01/20,4046,250120215339488,10.99,,0,10.99,135910,Magoos Rewards,,
01/20,4046,250120223804441,42.58,,0,9.49,135910,Magoos Rewards,,
01/20,4046,250120232916373,12.59,,0,12.59,135910,Magoos Rewards,,
01/20,4046,4060,2.59,38280,9.49,9.49,135910,Magoos Rewards,44797,3f55abe4-5635-4d7e-875c-8918073ce3f9
01/20,4046,3054,2.59,38280,9.49,9.49,135910,Magoos Rewards,44797,458ce926-5bcc-441e-8d7f-1d48121f5775
01/20,4077,2060,2.39,41953,8.59,8.59,135910,Magoos Rewards,111606,d50922cd-1bc9-4e2d-ade2-172e4b871083
01/20,4077,250121000209519,2.99,,0,7.99,135910,Magoos Rewards,,
01/20,4078,250120184124346,2.69,,0,7.99,135910,Magoos Rewards,,
01/20,4078,250120184102082,2.19,,0,7.99,135910,Magoos Rewards,,
01/20,4078,250120201327285,2.19,,0,7.99,135910,Magoos Rewards,,
01/20,4078,3031,16.25,,0,7.99,135910,Magoos Rewards,41351,
01/20,4078,11101,16.55,38280,7.99,7.99,135910,Magoos Rewards,143274,2fa29a0f-fea2-4fa4-9706-522493a356d1
01/20,4120,4004,2.69,38280,8.99,8.99,135910,Magoos Rewards,142898,be6660bc-6289-4940-bacd-35965042f0e1
01/20,4120,4009,2.69,38280,8.99,8.99,135910,Magoos Rewards,142898,7d7249fc-2149-4ca4-8359-d61584959702
01/20,4120,250120173411837,5.36,,0,8.99,135910,Magoos Rewards,,
01/20,4120,250120173907274,2.69,,0,8.99,135910,Magoos Rewards,,
01/20,4120,250120174452827,2.69,,0,8.99,135910,Magoos Rewards,,
01/20,4120,250120190825851,10.99,,0,10.99,135910,Magoos Rewards,,
01/20,4120,250120195557765,3.48,,0,8.99,135910,Magoos Rewards,,
01/20,4120,250120203848904,2.69,,0,8.99,135910,Magoos Rewards,,
