Date,Store,CHK,CHK Total,ITM,ITM $,DSCL,DSCL ID,Discount Name,Cashier Qu Backend ID,Loyalty ID
05/07,1825,250507230056280,14.19,,0,9.99,135910,Magoos Rewards,,
05/07,4045,3026,10.99,139412,10.99,10.99,147060,147060,162846,2c4184b2-1a0d-482b-9db0-2894e8dbc7b9
05/07,4046,3003,0,135862,2.59,2.59,135910,Magoos Rewards,53169,50358e78-d009-4958-88d7-84c9bb46bb88
05/07,4077,1002,13.68,135862,2.69,2.69,135910,Magoos Rewards,137617,03c4030a-3813-4756-809c-c37b26511378
05/07,4077,1020,2.69,38280,8.59,8.59,135910,Magoos Rewards,298613,304b7ea5-ee66-40d3-a45f-85a05d63786b
05/07,4077,1063,10.49,80538,10.49,10.49,147060,147060,298613,cfd8b1f5-7b24-4f97-8996-fb8236efc380
05/07,4077,250507202400591,11.18,,0,10.49,147060,147060,,
05/07,4077,2179,21.77,80538,10.49,10.49,135910,Magoos Rewards,298616,c15be79d-c9f8-48de-b9b6-4d67ad82f885
05/07,4078,250507221449127,14.84,,0,9.49,135910,Magoos Rewards,,
05/07,4120,250507161051144,10.99,,0,10.99,147060,147060,,
05/07,4120,250507193812513,18.68,,0,8.99,135910,Magoos Rewards,,
05/07,4145,250507163146614,10.49,,0,10.49,147060,147060,,
05/07,4145,250507182447458,10.49,,0,10.49,147060,147060,,
05/07,4145,4064,8.49,135862,2.79,2.79,135910,Magoos Rewards,44781,29a0c420-4ec7-40ca-92ab-0dfd75350753
05/07,4145,4097,40.03,135862,2.79,2.79,135910,Magoos Rewards,120636,d40b681d-6ec5-47cd-88d2-5f41e21ea036
05/07,4145,4130,64.78,135862,2.79,2.79,135910,Magoos Rewards,120636,ebf49046-b901-4d9d-9b74-f558fd3d55d2
05/07,4145,250507232912198,10.49,,0,10.49,135910,Magoos Rewards,,
05/07,4145,250507233237728,10.49,,0,10.49,135910,Magoos Rewards,,
05/07,4145,4150,10.99,135862,2.79,2.79,135910,Magoos Rewards,120636,e36b3c8b-254c-42f7-8999-cef34197a089
05/07,4145,250508010445715,17.26,,0,10.49,135910,Magoos Rewards,,
05/07,4145,3141,17.16,38280,8.49,8.49,135910,Magoos Rewards,130775,9475a9bc-7307-46f2-9a2a-5b3edbac4e8e
05/07,4145,3142,21.36,38280,8.49,8.49,135910,Magoos Rewards,130775,f0adc7d4-ed49-4129-aae2-be1148ea7e67
05/07,4146,1046,21.98,80538,10.49,10.49,147060,147060,84540,417b8d45-e913-48a3-8126-7f8b16218839
05/07,4146,250507220958280,20.98,,0,1.99,135910,Magoos Rewards,,
05/07,4146,250507233009880,10.49,,0,10.49,135910,Magoos Rewards,,
05/07,4147,250507205332875,21.48,,0,10.49,135910,Magoos Rewards,,
05/07,4147,250507225211452,12.07,,0,10.99,135910,Magoos Rewards,,
05/07,4148,250507172033751,10.49,,0,10.49,147060,147060,,
05/07,4148,250508001133129,10.49,,0,10.49,135910,Magoos Rewards,,
05/07,4149,250507151104773,10.49,,0,10.49,147060,147060,,
05/07,4149,250507151441375,10.49,,0,10.49,147060,147060,,
05/07,4149,3036,10.49,139412,10.49,10.49,147060,147060,323093,73459333-4706-4687-b9cd-c840f142a72e
05/07,4149,250507210815168,21.68,,0,8.59,135910,Magoos Rewards,,
05/07,4166,2007,0.79,38280,8.99,8.99,135910,Magoos Rewards,313753,013501c6-954d-444f-9c43-c75dbe383d84
05/07,4167,250507190448837,17.17,,0,3.49,147061,147061,,
05/07,4167,250507200446697,10.49,,0,1.79,135733,250 Points Free Cookie,,
05/07,4167,250507203936032,13.98,,0,10.49,147060,147060,,
05/07,4167,250507222404187,21.67,,0,2.29,135910,Magoos Rewards,,
05/07,4167,250507223350328,19.58,,0,9.19,135910,Magoos Rewards,,
05/07,4167,2108,10.58,38280,8.29,8.29,135910,Magoos Rewards,256800,6db3a457-9351-4682-8ee5-09a5bd237ca5
05/07,4225,3003,25.14,38280,7.89,7.89,135910,Magoos Rewards,85985,14e760fa-cac6-419e-9117-7a0505b8def0
05/07,4237,2022,15.87,80538,10.49,10.49,147060,147060,58437,b82e0e25-a339-42ad-857c-2bad6655d300
05/07,4237,2037,2.69,38280,8.99,8.99,135910,Magoos Rewards,58437,473f6fb0-15c9-4075-8559-d4b0da6e763b
05/07,4237,250507202709731,10.49,,0,10.49,147060,147060,,
05/07,4238,250507164524953,10.49,,0,10.49,147060,147060,,
05/07,4238,3012,4.53,38325,10.59,10.59,135910,Magoos Rewards,128018,6eb1f765-c404-411e-878c-765776b4da06
05/07,4238,4042,8.52,38280,8.59,8.59,135910,Magoos Rewards,198481,f10ee5fe-0063-44d5-bc10-b71871254145
05/07,4238,3035,31.48,80538,10.49,10.49,147060,147060,128018,93b6b672-d304-4bce-b301-382793d77633
05/07,4243,250507190347179,9.19,,0,2.29,135736,500 Points Free Reg Drink,,
05/07,4243,250507195958644,12.29,,0,9.19,135738,1000 Points Free 3 Pc,,
05/07,4243,250507212609058,20.98,,0,8.29,135738,1000 Points Free 3 Pc,,
05/07,4244,250505195000309,3.48,,0,8.49,135910,Magoos Rewards,,
05/07,4244,250507221705337,23.96,,0,10.99,135910,Magoos Rewards,,
05/07,4244,8182,36.42,135864,2.69,2.69,135910,Magoos Rewards,319438,87db0a83-7b8d-4453-a941-baa80eea45c9
05/07,4245,250507184416568,2.99,,0,8.99,135910,Magoos Rewards,,
05/07,4245,250507222159565,16.33,,0,10.99,135910,Magoos Rewards,,
05/07,4245,250507222738370,45.99,,0,10.49,135910,Magoos Rewards,,
05/07,4246,4026,10.49,80538,10.49,10.49,147060,147060,292910,923eeaf0-af43-42e2-8c30-910a0d60c016
05/07,4246,2041,10.99,,0,1.99,135910,Magoos Rewards,138235,4c7b4e1b-306c-4d77-a61f-9fbbef6ad76e
05/07,4248,4020,23.32,135862,2.59,2.59,135910,Magoos Rewards,80781,61e23097-5ffa-4e0b-a719-4f55ecc8c43e
05/07,4248,250507195846309,18.46,,0,10.99,147060,147060,,
05/07,4248,3010,31.71,38280,9.49,9.49,135910,Magoos Rewards,161156,adb52a57-d089-4ddf-9c54-67a5166cc3bb
05/07,4248,250507222424738,17.58,,0,10.99,135910,Magoos Rewards,,
05/07,4248,250507223920413,13.99,,0,13.99,135910,Magoos Rewards,,
05/07,4248,2020,12.59,80538,10.99,16.17,135910,Magoos Rewards,214812,c83df623-aca7-4cb8-ba17-b5e79f64d470
05/07,4248,250508011511772,28.78,,0,3.99,135910,Magoos Rewards,,
05/07,4250,250507154323902,10.99,,0,10.99,147060,147060,,
05/07,4250,250507182625251,10.99,,0,10.99,147060,147060,,
05/07,4250,4034,10.99,139412,10.99,10.99,147060,147060,83159,ac921571-278f-419d-8a77-2744f926522e
05/07,4250,250507233726212,20.37,,0,2.59,135910,Magoos Rewards,,
05/07,4251,3015,10.99,139412,10.99,10.99,147060,147060,83399,88367a2d-6a27-411c-9108-9c189188295f
05/07,4251,250507211948363,16.58,,0,9.49,135910,Magoos Rewards,,
05/07,4251,250507221329793,23.98,,0,1.99,135910,Magoos Rewards,,
05/07,4251,250507222750263,0,,0,1.99,135910,Magoos Rewards,,
05/07,4252,250507152222263,10.99,,0,10.99,147060,147060,,
05/07,4252,4023,8.79,139412,10.99,13.19,147060,147060,83401,bf5daa83-a16e-4a03-98e2-f0cf44256ba3
05/07,4252,2004,10.99,139412,10.99,10.99,147060,147060,273214,6e3b3fbe-8b4a-42ca-9b00-fc09b09abf8d
05/07,4252,250507202537306,10.99,,0,10.99,147060,147060,,
05/07,4252,250508001005512,2.08,,0,9.49,135910,Magoos Rewards,,
05/07,4252,250508004657939,10.99,,0,10.99,135910,Magoos Rewards,,
05/07,4253,250507163044540,2.59,,0,9.49,135910,Magoos Rewards,,
05/07,4253,250507172833099,11.99,,0,10.99,147060,147060,,
05/07,4253,3043,18.66,135862,2.59,2.59,135910,Magoos Rewards,146081,64d80f39-b391-4e1a-a48c-64f5f069eb83
05/07,4253,2020,8.23,139412,10.99,10.99,135910,Magoos Rewards,104604,ff7a1272-344a-43e3-a2bf-6c778b927656
05/07,4253,4031,23.76,139412,10.99,10.99,135910,Magoos Rewards,146576,41d571da-6697-4705-ab78-5cf0fb054734
05/07,4253,3075,19.76,139413,11.99,11.99,135910,Magoos Rewards,84293,9a5311f2-1a3e-4de1-af05-41a37ae55642
05/07,4253,250508000737937,0,,0,9.49,135910,Magoos Rewards,,
05/07,4255,3023,5.26,41953,10.24,10.24,135910,Magoos Rewards,171124,bd3d9a00-3fe9-47b1-a0fe-a7508ffc6706
05/07,4255,250507161742654,2.39,,0,9.49,135910,Magoos Rewards,,
05/07,4255,4008,10.99,38280,9.49,9.49,135910,Magoos Rewards,109728,a1f80f4f-27cd-44ae-9b87-70155c3d5466
05/07,4255,3060,26.11,38331,10.99,11.58,135910,Magoos Rewards,171124,1f1a3d33-2742-454c-be9a-1fc2ded47552
05/07,4255,4010,10.99,80538,10.99,10.99,147060,147060,109728,1ad5ea6f-b047-47e8-ad07-ea13f2d8618b
05/07,4256,250507190909324,2.69,,0,8.99,135910,Magoos Rewards,,
05/07,4256,250507223943563,10.68,,0,2.69,135910,Magoos Rewards,,
05/07,4258,250507150424000,25.06,,0,1.79,135733,250 Points Free Cookie,,
05/07,4258,250507150913462,13.15,,0,2.29,135736,500 Points Free Reg Drink,,
05/07,4258,4000,0,87258,3.49,3.49,135910,Magoos Rewards,75225,a88b8922-6b8f-435a-b4f0-bdd115d7d490
05/07,4258,2019,22.07,135862,2.29,2.29,135910,Magoos Rewards,182216,fbc32140-2def-4f4d-af32-2240886e715d
05/07,4258,250507164511951,0,,0,10.99,135739,2000 Points Free Meal,,
05/07,4258,250507171159461,10.49,,0,10.49,147060,147060,,
